iter	Logloss
0	0.6850089683
1	0.6765269831
2	0.6696843469
3	0.6619328249
4	0.6544313897
5	0.6474852469
6	0.6400920499
7	0.633950364
8	0.6284230659
9	0.6230841433
10	0.6171907466
11	0.6109576967
12	0.6063299528
13	0.6015867016
14	0.5966145093
15	0.5913044402
16	0.5874113864
17	0.5837403481
18	0.5797257222
19	0.5759248571
20	0.5724474092
21	0.5695673668
22	0.5650051373
23	0.5609260866
24	0.5571434947
25	0.553992188
26	0.550809111
27	0.5477467602
28	0.5452069456
29	0.5428653235
30	0.5403239169
31	0.5376796905
32	0.5347150295
33	0.5321149746
34	0.5292801808
35	0.5265459703
36	0.52355207
37	0.5211457984
38	0.5181346255
39	0.5154721343
40	0.5135477843
41	0.5111439315
42	0.5084717568
43	0.5062688862
44	0.5041258871
45	0.5018262807
46	0.5000273484
47	0.4982037429
48	0.4962989954
49	0.4940780594
50	0.4923777749
51	0.490784726
52	0.4890776686
53	0.4874150541
54	0.4863358117
55	0.484094135
56	0.4826859679
57	0.4809642962
58	0.4798731931
59	0.4785892969
60	0.4770902809
61	0.475542436
62	0.4741097315
63	0.4728525667
64	0.4716149301
65	0.4702933172
66	0.4693195805
67	0.4677990606
68	0.465862248
69	0.4649031913
70	0.4636742801
71	0.4624769548
72	0.4613456549
73	0.4603902423
74	0.4590526308
75	0.4578221657
76	0.4567640159
77	0.45547284
78	0.454523291
79	0.4535597254
80	0.4525938724
81	0.4515764029
82	0.4506025305
83	0.4491171665
84	0.4481498275
85	0.4468372516
86	0.4459104042
87	0.4445794511
88	0.4434999501
89	0.4426852117
90	0.4418603956
91	0.4410304217
92	0.4402498387
93	0.4396641114
94	0.4387101573
95	0.4377216557
96	0.4369232382
97	0.4361676717
98	0.4350379426
99	0.434058567
100	0.4332113142
101	0.4324603159
102	0.4317926453
103	0.4310718637
104	0.4304071863
105	0.4296333592
106	0.4290757478
107	0.4283250124
108	0.427774227
109	0.4269832544
110	0.4260764058
111	0.4255092401
112	0.4250467916
113	0.4245537364
114	0.4239381466
115	0.423418962
116	0.4228085278
117	0.4222446627
118	0.4217524682
119	0.4212847391
120	0.4206146518
121	0.4200831444
122	0.419486555
123	0.4188835954
124	0.4182942708
125	0.4175286879
126	0.4169958535
127	0.416503907
128	0.4158629361
129	0.4154941537
130	0.415019764
131	0.4145467542
132	0.4141610766
133	0.4137161593
134	0.413315456
135	0.4127963498
136	0.4121862399
137	0.4117338925
138	0.4112214406
139	0.4107501606
140	0.4101758235
141	0.409721653
142	0.4091703799
143	0.4084001121
144	0.4079788631
145	0.4074456471
146	0.4069599797
147	0.406450415
148	0.4059323793
149	0.405516466
150	0.4051070946
151	0.4046148662
152	0.4043209045
153	0.4040035861
154	0.4035677482
155	0.4032694874
156	0.4029786419
157	0.4025402644
158	0.40213427
159	0.4016672298
160	0.4011822131
161	0.4007388073
162	0.4003379069
163	0.3999700065
164	0.3995648557
165	0.3992093798
166	0.398890976
167	0.398451068
168	0.398127973
169	0.3978374285
170	0.397533389
171	0.3971389372
172	0.3966988744
173	0.3964482301
174	0.3960949503
175	0.3958461099
176	0.3954882852
177	0.3950110442
178	0.3946613682
179	0.394130944
180	0.3936502371
181	0.393283882
182	0.3930565858
183	0.3926623248
184	0.3924234139
185	0.3920277983
186	0.39171239
187	0.3913909506
188	0.3910416731
189	0.3908175716
190	0.3905423325
191	0.3903012721
192	0.3900008321
193	0.3897110677
194	0.3893622715
195	0.3891533991
196	0.3887798407
197	0.3883913033
198	0.3880124559
199	0.3877098536
