iter	Passed	Remaining
0	17	3575
1	37	3677
2	53	3503
3	71	3479
4	90	3514
5	108	3511
6	127	3518
7	144	3477
8	162	3438
9	175	3331
10	191	3298
11	208	3273
12	223	3214
13	239	3184
14	254	3144
15	271	3117
16	286	3081
17	304	3075
18	320	3051
19	335	3016
20	350	2990
21	366	2961
22	380	2930
23	397	2911
24	412	2886
25	429	2871
26	444	2851
27	460	2830
28	475	2805
29	491	2786
30	505	2758
31	520	2731
32	534	2705
33	551	2693
34	567	2673
35	583	2659
36	599	2642
37	614	2620
38	628	2595
39	642	2570
40	657	2549
41	672	2530
42	687	2508
43	702	2489
44	716	2469
45	732	2451
46	751	2447
47	766	2428
48	782	2411
49	798	2395
50	813	2377
51	828	2357
52	841	2333
53	856	2314
54	871	2297
55	886	2280
56	903	2266
57	918	2248
58	932	2227
59	946	2208
60	960	2188
61	974	2170
62	988	2149
63	1003	2133
64	1017	2114
65	1033	2097
66	1048	2080
67	1067	2073
68	1091	2071
69	1109	2060
70	1128	2049
71	1143	2033
72	1159	2016
73	1173	1998
74	1186	1977
75	1201	1960
76	1218	1946
77	1232	1928
78	1248	1911
79	1261	1892
80	1276	1875
81	1291	1857
82	1305	1840
83	1319	1822
84	1334	1804
85	1349	1788
86	1365	1773
87	1379	1756
88	1393	1737
89	1407	1720
90	1423	1704
91	1438	1688
92	1451	1669
93	1465	1652
94	1480	1636
95	1495	1620
96	1512	1605
97	1528	1590
98	1544	1575
99	1558	1558
100	1573	1542
101	1588	1526
102	1602	1509
103	1618	1493
104	1631	1476
105	1649	1462
106	1663	1445
107	1682	1432
108	1696	1416
109	1710	1399
110	1727	1385
111	1743	1369
112	1757	1353
113	1771	1336
114	1787	1321
115	1802	1305
116	1818	1290
117	1831	1272
118	1845	1256
119	1861	1240
120	1875	1224
121	1889	1208
122	1902	1191
123	1918	1175
124	1932	1159
125	1950	1145
126	1965	1129
127	1980	1113
128	1994	1097
129	2009	1081
130	2024	1066
131	2039	1050
132	2054	1035
133	2068	1018
134	2082	1002
135	2097	987
136	2114	972
137	2127	956
138	2141	939
139	2156	924
140	2171	908
141	2186	893
142	2199	876
143	2214	861
144	2229	845
145	2245	830
146	2261	815
147	2274	799
148	2289	783
149	2304	768
150	2319	752
151	2335	737
152	2351	722
153	2365	706
154	2379	690
155	2397	676
156	2411	660
157	2427	645
158	2442	629
159	2456	614
160	2470	598
161	2486	583
162	2501	567
163	2517	552
164	2536	537
165	2552	522
166	2568	507
167	2583	492
168	2597	476
169	2611	460
170	2626	445
171	2641	429
172	2656	414
173	2671	399
174	2689	384
175	2703	368
176	2719	353
177	2734	337
178	2749	322
179	2763	307
180	2777	291
181	2792	276
182	2807	260
183	2824	245
184	2840	230
185	2855	214
186	2871	199
187	2886	184
188	2900	168
189	2914	153
190	2930	138
191	2945	122
192	2960	107
193	2975	92
194	2990	76
195	3005	61
196	3021	46
197	3036	30
198	3051	15
199	3064	0
